2, Australia,0.18,0.16,0.139,0.138,0.12
90, China,0.29,0.254,0.228,0.197,0.164
17, Japan,0.159,0.135,0.148,0.12,0.116
59, Malaysia,0.398,0.34,0.324,0.308,0.291
14, Sweden,0.09,0.062,0.053,0.051,0.048
2, Switzerland,0.117,0.094,0.073,0.062,0.04
151, Tanzania (United Republic of),0.652,0.68,0.592,0.58,0.544
84, Ukraine,0.482,0.384,0.37,0.334,0.284
16, United Kingdom,0.237,0.215,0.206,0.184,0.131
10, United States,0.305,0.3,0.264,0.254,0.203
168, Yemen,0.814,0.814,0.791,0.779,0.767
